"","no","ANOVAfull","anova","oldWT-oldHet","young-oldHet","young-oldWT"
"PI(20:0_20:4)",0,0.582,0.0969,0.3188,0.6763,0.3701
"PI(20:1_20:4)",0,0.3688,0.1512,0.412,0.7941,0.4683
"PI(20:1_20:5)",0,0.7723,0.1379,0.3951,0.3138,0.8678
"PI(20:3_20:4)",0,0.0855,0.136,0.4791,1,0.2879
"PI(20:3_20:5)",0,0.4261,0.7212,1,0.9509,1
"PI(22:5_20:4)",0,0.8263,0.2662,0.7635,0.3475,1
"PI(36:5)",0,0.2658,0.1963,0.6295,1,0.3632
"PS(16:0_22:6)",0,0.0928,0.0582,0.3046,0.9927,0.1939
"PS(16:1e_20:4)",0,0.8261,0.9,1,1,1
"PS(16:1e_22:6)",0,0.9832,0.687,1,1,0.8678
"PS(18:0_22:6) (1)",0,0.0354,0.0274,0.2433,0.6779,0.1354
"PS(18:0_22:6) (2)",0,0.3196,0.3518,1,0.4525,0.9201
"PS(18:1e_20:4)",0,0.3723,0.613,0.9929,1,0.8427
"PS(18:1e_20:5)",0,0.7996,0.8655,1,1,1
"PS(18:1e_22:5)",0,0.8256,0.3371,0.9022,1,0.4925
"PS(18:1e_22:6)",0,0.8519,0.2279,0.829,1,0.3632
"PS(18:2e_22:6)",0,0.441,0.5237,0.9183,1,0.78
"PS(18:3e_22:6)",0,0.3454,0.8211,1,1,0.9601
"PS(20:1_22:6)",0,0.1865,0.0595,0.514,0.0844,0.948
"PS(20:2e_22:6)",0,0.9375,0.1886,0.565,0.3083,1
"PS(20:4e_22:6)",0,0.2796,0.8541,1,1,1
"PS(36:6e)",0,0.4807,0.422,0.7654,1,0.7347
"SM(d31:1)",0,0.7959,0.4331,0.8944,0.5865,1
"SM(d32:1)",0,0.3931,0.4752,0.8193,0.773,1
"SM(d33:1) (1)",0,0.4745,0.1793,0.4669,0.7549,0.5945
"SM(d33:1) (2)",0,0.7545,0.2599,0.6298,0.4525,1
"SM(d34:1)",0,0.3281,0.1036,0.3374,0.2441,0.8659
"SM(d35:1)",0,0.4361,0.0216,0.1369,0.143,0.1939
"SM(d36:1)",0,0.0966,0.0945,0.3107,0.4503,0.494
"SM(d37:1)",0,0.8117,0.0813,0.3188,0.1655,0.9365
"SM(d37:3)",0,0.022,0.0363,0.3454,0.9394,0.1171
"SM(d38:1)",0,0.7027,0.8597,1,1,1
"SM(d38:2)",0,0.7641,0.0582,0.9799,0.0894,0.4049
"SM(d39:1)",0,0.8614,0.0522,0.3046,0.0844,1
"SM(d39:2)",0,0.9735,0.0947,0.3749,0.1538,1
"SM(d40:1)",0,0.8614,0.2501,0.6709,0.3758,1
"SM(d40:2) (1)",0,0.4438,0.1495,0.6298,0.193,1
"SM(d40:2) (2)",0,0.196,0.4718,0.9271,0.6423,1
"SM(d40:3)",0,0.4189,0.2222,1,0.3383,0.6706
"SM(d41:1)",0,0.0592,0.0348,0.2535,0.1057,0.5734
"SM(d41:2) (1)",0,0.3866,0.1492,0.565,0.2037,1
"SM(d41:2) (2)",0,0.2535,0.3112,0.9385,1,0.4581
"SM(d42:1)",0,0.2658,0.0726,0.3046,0.2525,0.6536
"SM(d42:2) (1)",0,0.5163,0.1426,1,0.2322,0.4886
"SM(d42:2) (2)",0,0.0091,0.8612,1,1,1
"SM(d42:3)",0,0.9735,0.1916,0.8039,1,0.315
"SM(d42:4)",0,0.0127,0.3257,1,0.4329,0.8678
"SM(d43:1)",0,0.0325,0.0192,0.1369,0.6883,0.1171
"SM(d43:2) (1)",0,0.523,0.5369,0.9121,0.7892,1
"SM(d43:2) (2)",0,0.3027,0.5646,0.9271,0.83,1
"SM(d43:4)",0,0.1455,0.2599,0.5851,0.5878,0.8935
"SM(d44:1)",0,0.3324,0.2935,0.6235,0.8036,0.7853
"SM(d44:2) (1)",0,0.0124,0.4835,0.8304,0.7769,1
"SM(d44:2) (2)",0,0.0176,0.2666,1,0.7046,0.4581
"SM(t32:1)",0,0.0374,0.1495,0.6715,1,0.2552
"SM(t33:2)",0,0.9688,0.2382,1,0.3123,0.8643
"SM(t38:1)",0,0.3751,0.0258,0.1912,0.2867,0.1742
"SM(t39:1)",0,0.7778,0.0949,0.3188,0.2383,0.8329
"SM(t40:1)",0,0.9285,0.079,0.3266,0.1431,0.9995
"SM(t40:2)",0,0.062,0.4115,0.7895,0.6287,1
"SM(t41:1)",0,0.2658,0.2923,1,0.5124,0.6452
"SM(t42:2)",0,0.4651,0.1587,1,0.2322,0.62
"SPH(d16:1)",0,0.121,0.3573,1,0.525,0.8061
"SPH(d18:1)",0,0.0573,0.0343,0.8881,0.2031,0.1171
"SPH(d19:1)",0,0.7996,0.1617,0.6709,1,0.2831
"SPH(d20:0)",0,0.7936,0.4318,1,1,0.62
"SPH(d22:0)",0,0.8179,0.4273,0.7464,0.7941,0.9687
"SPH(d22:1)",0,0.2949,0.122,0.5173,0.1664,1
"SPH(d22:2)",0,0.5156,0.1406,0.5123,1,0.2831
"TG(10:0_11:2_18:2)",0,0.3957,0.0124,0.7442,0.0126,0.1171
"TG(11:0_6:0_6:0)",0,0.0114,0.0124,0.7442,0.0126,0.1171
"TG(14:0_18:2_18:2)",0,0.0116,0.0388,1,0.0809,0.1986
"TG(14:0_18:2_18:3)",0,0.0083,0.0634,1,0.1244,0.2904
"TG(14:0_18:3_18:3)",0,0.022,0.03,0.4061,0.0354,0.692
"TG(14:0_20:5_22:6)",0,0.2643,0.0575,0.9933,0.0876,0.3741
"TG(14:0_22:6_22:6)",0,0.0117,0.0495,0.8235,0.0776,0.4285
"TG(15:0_14:0_16:0)",0,1e-04,0.0216,0.876,0.108,0.1171
"TG(15:0_14:0_16:1)",0,2e-04,0.0369,1,0.1172,0.145
"TG(15:0_14:0_18:2)",0,0.0048,0.0224,1,0.0542,0.1259
"TG(15:0_14:0_18:3)",0,0.0046,0.0124,0.3188,0.0126,0.2166
"TG(15:0_16:0_16:0)",0,0.0025,0.0343,1,0.0946,0.145
"TG(15:0_16:0_16:1)",0,0.0019,0.0301,1,0.0782,0.145
"TG(15:0_16:0_18:1)",0,0.0052,0.0339,1,0.0814,0.1564
"TG(15:0_16:0_18:2)",0,0.0082,0.0348,1,0.0784,0.1798
"TG(15:0_16:0_18:3)",0,0.0046,0.0233,1,0.0503,0.145
"TG(15:0_16:1_18:1)",0,0.0023,0.0741,1,0.2258,0.2208
"TG(15:0_16:1_18:3)",0,0.0051,0.0582,0.7233,0.0815,0.6536
"TG(15:0_18:1_18:2)",0,0.0055,0.0391,1,0.0817,0.1986
"TG(15:0_18:2_18:2)",0,0.0072,0.0475,1,0.0933,0.2116
"TG(15:0_18:2_18:3)",0,0.0076,0.0247,1,0.0471,0.1702
"TG(15:0_18:2_22:5)",0,0.0281,0.0202,0.3069,0.02,0.6012
"TG(15:0_18:3_18:3)",0,0.0114,0.2959,1,0.5891,0.5889
"TG(15:0_18:3_22:5)",0,0.288,0.0202,1,0.0439,0.1171
"TG(15:0_22:5_22:6)",0,0.0329,0.0224,0.3111,0.0269,0.7155
"TG(15:0_22:6_22:6)",0,0.0064,0.0233,0.3046,0.028,0.8986
"TG(15:0_6:0_6:0)",0,0.1766,0.206,1,0.398,0.4956
"TG(16:0_12:0_14:0)",0,0.5194,0.0703,0.495,1,0.174
"TG(16:0_13:0_14:0)",0,0.5194,0.0262,0.9448,0.1275,0.1171
"TG(16:0_14:0_14:0)",0,0.001,0.0202,0.7091,0.1191,0.1171
"TG(16:0_14:0_16:0)",0,0.0021,0.0348,1,0.129,0.1354
"TG(16:0_14:0_18:1)",0,0.0055,0.0438,1,0.1138,0.1747
"TG(16:0_14:0_18:2)",0,0.0052,0.0348,1,0.0814,0.174
"TG(16:0_14:0_18:3)",0,0.0079,0.0348,1,0.0635,0.2116
"TG(16:0_16:0_16:0)",0,0.004,0.0454,1,0.143,0.1702
"TG(16:0_16:0_17:0)",0,0.0031,0.0395,1,0.0946,0.1747
"TG(16:0_16:0_18:1)",0,0.0096,0.0488,1,0.1082,0.2012
"TG(16:0_16:0_18:2)",0,0.009,0.0451,1,0.0923,0.2036
"TG(16:0_16:1_18:2)",0,0.0116,0.0437,1,0.0891,0.2012
"TG(16:0_17:0_20:1)",0,0.003,0.0267,1,0.0592,0.1539
"TG(16:0_17:1_18:1)",0,0.0063,0.0329,1,0.0784,0.1568
"TG(16:0_18:1_18:1)",0,0.0097,0.054,1,0.1138,0.2116
"TG(16:0_18:1_18:2)",0,0.0112,0.0562,1,0.1088,0.2305
"TG(16:0_18:1_21:0)",0,0.001,0.0194,0.9422,0.0266,0.145
"TG(16:0_18:1_22:0)",0,0.0021,0.0224,0.9448,0.0339,0.1813
"TG(16:0_18:1_23:0)",0,3e-04,0.0716,0.8355,0.0996,0.62
"TG(16:0_18:1_24:0)",0,0.001,0.0582,0.6295,0.0817,0.7997
"TG(16:0_18:2_18:2)",0,0.0138,0.0582,1,0.1271,0.2452
"TG(16:0_18:2_18:3)",0,0.0098,0.0565,1,0.1138,0.2272
"TG(16:0_22:1_23:0)",0,6e-04,0.0444,1,0.0782,0.2831
"TG(16:0_22:1_24:1)",0,0.0027,0.1886,1,0.2509,0.7871
"TG(16:0_22:5_22:5)",0,0.0103,0.0676,0.6362,0.0891,0.8427
"TG(16:0_22:5_22:6)",0,0.0752,0.0224,0.3046,0.0273,0.8659
"TG(16:0_22:6_22:6)",0,0.017,0.0384,0.6715,0.0536,0.4646
"TG(16:0_22:6_24:1)",0,0.0086,0.0192,0.2784,0.0183,0.8061
"TG(16:1_14:0_18:3)",0,0.0245,0.5293,1,1,0.7155
"TG(16:1_18:2_18:3)",0,0.0086,0.0582,1,0.1223,0.2552
"TG(16:1_18:3_18:3)",0,0.0201,0.0567,0.7357,0.0793,0.6078
"TG(17:0_18:1_18:1)",0,0.0052,0.0296,1,0.0578,0.1759
"TG(17:0_18:1_18:2)",0,0.0055,0.0252,1,0.0439,0.1813
"TG(17:0_18:1_22:1)",0,0.0016,0.0195,1,0.028,0.1354
"TG(17:0_18:1_22:5)",0,0.0096,0.0202,0.3046,0.02,0.6873
"TG(17:0_18:1_24:1)",0,0.0014,0.0133,0.2784,0.0126,0.5077
"TG(17:0_18:2_18:2)",0,0.0059,0.0391,1,0.0817,0.1986
"TG(17:0_18:2_18:3)",0,0.0089,0.061,1,0.1057,0.3632
"TG(17:0_18:2_22:1)",0,0.0065,0.0346,1,0.0618,0.2116
"TG(17:0_18:2_22:5)",0,0.0489,0.0559,0.565,0.0776,0.8112
"TG(17:0_18:3_20:3)",0,0.0072,0.031,0.9542,0.049,0.2208
"TG(17:0_20:1_24:1)",0,0.0011,0.056,0.6715,0.0782,0.6536
"TG(17:0_22:1_24:1)",0,0.2653,0.0582,1,0.143,0.2116
"TG(18:0_16:0_16:0)",0,0.003,0.0524,1,0.1599,0.1758
"TG(18:0_16:0_17:0)",0,0.0025,0.024,1,0.051,0.145
"TG(18:0_16:0_17:1)",0,0.0075,0.0342,1,0.0776,0.1731
"TG(18:0_16:0_18:0)",0,0.0021,0.035,1,0.1138,0.145
"TG(18:0_16:0_18:1)",0,0.0079,0.0416,1,0.0854,0.1986
"TG(18:0_16:0_22:0)",0,2e-04,0.0348,1,0.0887,0.1568
"TG(18:0_16:0_22:6)",0,0.1398,0.1182,1,0.2311,0.3692
"TG(18:0_16:0_23:0)",0,2e-04,0.0195,1,0.0534,0.1171
"TG(18:0_16:0_24:0)",0,2e-04,0.0224,1,0.077,0.1171
"TG(18:0_17:0_20:0)",0,2e-04,0.0216,1,0.059,0.1171
"TG(18:0_17:0_24:1)",0,3e-04,0.1218,1,0.2477,0.3632
"TG(18:0_18:0_18:0)",0,6e-04,0.0252,1,0.0844,0.1171
"TG(18:0_18:1_20:1)",0,0.0046,0.024,1,0.0429,0.174
"TG(18:0_20:1_22:5)",0,0.0722,0.035,0.9542,0.0592,0.2668
"TG(18:0_22:1_22:5)",0,0.0076,0.0595,0.6425,0.0839,0.7871
"TG(18:0_22:6_24:1)",0,0.0051,0.0582,0.6462,0.0814,0.7605
"TG(18:1_18:1_18:1)",0,0.0063,0.0567,1,0.119,0.2257
"TG(18:1_18:1_18:2)",0,0.0079,0.0582,1,0.1301,0.2371
"TG(18:1_18:1_22:5)",0,0.0149,0.0343,0.8039,0.0492,0.315
"TG(18:1_18:1_24:0)",0,0.0016,0.0216,0.3107,0.026,0.7019
"TG(18:1_18:2_18:2)",0,0.0103,0.0576,1,0.1175,0.2371
"TG(18:1_18:2_22:0)",0,0.0048,0.0216,0.9833,0.0325,0.1731
"TG(18:1_18:2_22:1)",0,0.0041,0.0567,0.6709,0.0784,0.692
"TG(18:1_18:2_22:5)",0,0.0151,0.0595,1,0.1092,0.3222
"TG(18:1_18:2_22:6)",0,0.0116,0.0582,1,0.0998,0.3568
"TG(18:1_18:2_23:0)",0,0.004,0.0775,0.8175,0.1045,0.6576
"TG(18:1_18:2_24:0)",0,0.003,0.0216,0.3111,0.026,0.6818
"TG(18:1_18:2_24:1)",0,0.0035,0.0192,0.3046,0.0168,0.6294
"TG(18:1_18:3_20:3)",0,0.0066,0.0715,1,0.1143,0.4049
"TG(18:1_22:1_22:5)",0,0.0055,0.0262,0.3454,0.0307,0.7249
"TG(18:1_22:1_22:6)",0,0.0098,0.0192,0.2784,0.0168,0.7871
"TG(18:1_22:1_24:1)",0,0.3196,0.0469,1,0.0793,0.2904
"TG(18:1_22:5_22:6)",0,0.0097,0,6e-04,0,0.2278
"TG(18:1_22:5_24:0)",0,0.01,0.4243,1,0.5481,0.99
"TG(18:1_22:5_24:1)",0,0.0052,0.1484,1,0.2127,0.6231
"TG(18:1_22:6_22:6)",0,0.0138,0.0775,0.6298,0.0996,0.8935
"TG(18:1_22:6_24:1)",0,0.0085,0.0576,0.8986,0.0844,0.448
"TG(18:2_18:2_18:2)",0,0.011,0.0699,1,0.1517,0.2729
"TG(18:2_18:2_23:0)",0,0.0149,0.0267,0.935,0.0429,0.2092
"TG(18:2_20:4_22:6)",0,0.015,0.0346,0.3046,0.0474,1
"TG(18:2_22:6_22:6)",0,0.0167,0.0202,0.3655,0.02,0.4098
"TG(18:3_14:2_18:2)",0,0.0744,0.0999,0.7654,0.7847,0.2012
"TG(18:3_14:4_20:2)",0,0.0138,0.0418,1,0.1827,0.145
"TG(18:3_17:1_18:2)",0,0.0051,0.1215,1,0.2378,0.3694
"TG(18:3_17:1_18:3)",0,0.015,0.0224,0.3749,0.0273,0.5466
"TG(18:3_18:2_18:2)",0,0.0142,0.0486,1,0.0962,0.2116
"TG(18:3_18:2_18:3)",0,0.015,0.0475,1,0.0855,0.2428
"TG(18:3_18:2_20:3)",0,0.1581,0.0511,1,0.085,0.2879
"TG(18:3_18:2_20:4)",0,0.0047,0.0201,0.3046,0.02,0.7557
"TG(18:3_18:2_21:0)",0,0.0079,0.0715,1,0.1981,0.2278
"TG(18:3_18:2_22:1)",0,0.1106,0.0567,0.5716,0.0782,0.816
"TG(18:3_18:2_22:5)",0,0.012,0.0861,0.7057,0.1092,0.8427
"TG(18:3_18:2_23:0)",0,0.0147,0.054,1,0.1989,0.1731
"TG(18:3_18:3_20:4)",0,0.0573,0.0599,0.6592,0.0844,0.7803
"TG(18:3_18:3_20:5)",0,0.0552,0.05,1,0.0814,0.315
"TG(18:3_18:3_22:6)",0,0.032,0.2185,1,0.2933,0.8112
"TG(18:3_20:4_22:6)",0,0.0397,0.0325,0.3454,0.0395,0.8329
"TG(18:3_20:5_22:6)",0,0.0438,0.0582,0.6425,0.0817,0.78
"TG(18:3_22:5_22:6)",0,0.0194,0.0133,0.3218,0.0126,0.2452
"TG(18:3_22:6_22:6)",0,0.0231,0.0418,1,0.086,0.1986
"TG(18:4_14:0_18:3)",0,0.0021,0.0434,0.764,0.3535,0.1354
"TG(18:4_15:0_16:1)",0,0.0019,0.0634,0.7654,0.5692,0.1702
"TG(18:4_15:0_18:3)",0,0.0051,0.0974,1,0.2546,0.2771
"TG(18:4_16:1_18:3)",0,0.0079,0.0124,0.8745,0.0126,0.1171
"TG(18:4_17:1_18:3)",0,0.1889,0.02,1,0.0429,0.1171
"TG(18:4_18:3_18:3)",0,0.2853,0.1588,1,0.2252,0.6608
"TG(18:4_18:3_20:5)",0,0.0051,0.1865,0.8642,0.2324,0.9201
"TG(18:4_18:3_22:6)",0,0.0079,0.0935,0.7357,0.1152,0.8273
"TG(19:1_18:0_18:1)",0,0.0025,0.0205,0.9699,0.028,0.1564
"TG(19:1_18:1_18:1)",0,0.003,0.0216,0.8643,0.0301,0.1939
"TG(19:1_18:1_18:2)",0,0.0046,0.0224,1,0.0381,0.1702
"TG(19:1_18:2_18:2)",0,0.0047,0.0343,0.9448,0.0542,0.2509
"TG(20:0_16:0_17:0)",0,5e-04,0.0224,1,0.051,0.1354
"TG(20:0_16:0_18:1)",0,0.0039,0.0303,1,0.0625,0.1735
"TG(20:0_16:0_18:2)",0,0.0058,0.0458,1,0.0876,0.2116
"TG(20:0_18:1_18:2)",0,0.0051,0.0346,1,0.0653,0.2063
"TG(20:0_18:1_20:1)",0,0.0027,0.0565,0.6324,0.0782,0.7297
"TG(20:1_18:1_18:2)",0,0.0043,0.0367,1,0.0776,0.2063
"TG(20:1_18:1_18:3)",0,0.0064,0.0389,1,0.077,0.2271
"TG(20:1_18:1_22:5)",0,0.0068,0.0216,0.3046,0.026,0.7659
"TG(20:1_18:1_22:6)",0,0.0058,0.0292,0.7442,0.0412,0.2904
"TG(20:1_18:1_24:1)",0,0.0017,0.0124,0.3161,0.0126,0.2019
"TG(22:1_17:1_18:2)",0,0.0157,0.0192,1,0.0325,0.1171
"TG(22:1_18:2_18:2)",0,0.0051,0.0576,0.7357,0.0809,0.6231
"TG(22:5_18:2_18:2)",0,0.0148,0.0813,0.6898,0.1045,0.8329
"TG(22:5_18:2_22:6)",0,0.022,0.0334,0.3046,0.0452,1
"TG(24:1_18:2_18:2)",0,0.0051,0.0134,0.268,0.0126,0.62
"TG(24:1_18:2_22:1)",0,0.0044,0.1214,1,0.1866,0.4919
"TG(25:0_18:1_18:2)",0,0.0021,6e-04,0.0317,4e-04,0.1986
"TG(25:0_18:2_20:1)",0,0.1736,0.0431,1,0.0782,0.2552
"TG(25:1)",0,0.0372,0.0124,0.7483,0.0129,0.1205
"TG(25:1_18:1_18:2)",0,0.0058,2e-04,0.0088,2e-04,0.2012
"TG(26:0_16:0_18:1)",0,0.0198,0.0492,0.9915,0.0793,0.3383
"TG(26:0_18:2_18:3)",0,0.003,0.0565,0.6739,0.0782,0.6569
"TG(26:1_18:1_18:2)",0,0.003,0.0124,0.3321,0.0126,0.1813
"TG(26:1_18:2_18:2)",0,0.003,0.162,0.7135,0.2037,1
"TG(27:1)",0,0.0215,0.1513,1,0.2834,0.4312
"TG(27:2)",0,0.0112,0.0133,0.3188,0.0126,0.2904
"TG(27:3)",0,0.0228,0.3736,1,0.6378,0.7063
"TG(29:1)",0,0.0079,0.0124,0.3046,0.0126,0.2598
"TG(29:2)",0,0.0075,0.0554,0.565,0.077,0.7965
"TG(30:0_18:2_18:2)",0,0.0316,0.0582,1,0.1431,0.2116
"TG(30:3)",0,0.1193,0.1571,1,0.2221,0.6536
"TG(4:0_6:0_14:0)",0,0.3252,0.0124,0.3046,0.0126,0.1986
"TG(46:7e)",0,0.4864,0.6146,1,0.8003,0.9854
"TG(6:0_6:0_13:0)",0,0.027,0.0195,1,0.0273,0.1385
"TG(6:0_6:0_6:0)",0,0.5918,0.0175,0.2535,0.0153,0.8645
